date,meal,food_id,quantity_g
2026-08-07,breakfast,iogurte_proteico,175
2026-08-07,breakfast,chia_seeds,10
2026-08-07,breakfast,aveia,20
2026-08-07,breakfast,banana,120
2026-08-07,breakfast,morango,40
2026-08-07,breakfast,whey_protein_powder,30
2026-08-07,lunch,batata_cozida,200
2026-08-07,lunch,frango_coxa_grelhada,120
2026-08-07,lunch,vegetais_mistos,100
2026-08-07,dinner,batata_cozida,200
2026-08-07,dinner,frango_coxa_grelhada,120
2026-08-07,dinner,vegetais_mistos,100
2026-08-07,snack,pao_pita,65
2026-08-07,snack,pate_figado_frango,80
2026-08-08,breakfast,iogurte_proteico,175
2026-08-08,breakfast,chia_seeds,10
2026-08-08,breakfast,aveia,20
2026-08-08,breakfast,banana,120
2026-08-08,breakfast,morango,40
2026-08-08,breakfast,whey_protein_powder,30
2026-08-08,lunch,carne_crua,100
2026-08-08,lunch,polvo,100
2026-08-08,lunch,tortilla_trigo,45
2026-08-08,dinner,patinho_moido,240
2026-08-08,dinner,pao_hamburguer,220
2026-08-08,dinner,queijo_cheddar,30
2026-08-09,breakfast,iogurte_proteico,175
2026-08-09,breakfast,chia_seeds,10
2026-08-09,breakfast,aveia,20
2026-08-09,breakfast,banana,120
2026-08-09,breakfast,morango,40
2026-08-09,breakfast,whey_protein_powder,30
2026-08-09,lunch,lasanha_bolonhesa,250
2026-08-09,dinner,lasanha_bolonhesa,150
2026-08-09,dinner,frango_coxa_grelhada,120
2026-08-09,snack,iogurte_atilatte,170
2026-08-09,snack,chia_seeds,10
2026-08-09,snack,true_beef_protein,31
2026-08-09,snack,maracuja,80
2026-08-09,snack,morango,40
